allsides_media_bias_ratings/publication/source_name,allsides_media_bias_ratings/publication/source_type,allsides_media_bias_ratings/publication/media_bias_rating,allsides_media_bias_ratings/publication/source_url,allsides_media_bias_ratings/publication/allsides_url
Foreign Policy,News Media,Center,https://foreignpolicy.com/,https://www.allsides.com/news-source/foreign-policy-media-bias
Fort Bend Star,News Media,Center,https://www.fortbendstar.com/,https://www.allsides.com/news-source/fort-bend-star-media-bias
Fort Worth Business Press,News Media,Center,https://fortworthbusiness.com/,https://www.allsides.com/news-source/fort-worth-business-press-media-bias
Fort Worth Report,News Media,Center,https://fortworthreport.org/,https://www.allsides.com/news-source/forth-worth-report-media-bias
Fort Worth Star-Telegram,News Media,Center,https://www.star-telegram.com/,https://www.allsides.com/news-source/fort-worth-star-telegram-media-bias
Fortune,News Media,Center,https://www.fortune.com,https://www.allsides.com/news-source/fortune
Forward,Think Tank / Policy Group,Center,https://www.forwardparty.com/,https://www.allsides.com/news-source/forward-media-bias
Foundation Against Intolerance and Racism,Think Tank / Policy Group,Center,https://www.fairforall.org/,https://www.allsides.com/news-source/foundation-against-intolerance-and-racism-media-bias
FOX 10 Phoenix,News Media,Center,https://www.fox10phoenix.com/,https://www.allsides.com/news-source/fox-10-phoenix-media-bias
FOX 13 Salt Lake City,News Media,Center,https://www.fox13now.com/,https://www.allsides.com/news-source/fox-13-salt-lake-city-media-bias
Fox 13 Seattle,News Media,Center,https://www.fox13seattle.com/,https://www.allsides.com/news-source/fox-13-seattle-media-bias
Fox 17 West Michigan,News Media,Center,https://www.fox17online.com/,https://www.allsides.com/news-source/fox-17-west-michigan-media-bias
FOX 2 Detroit,News Media,Center,https://www.fox2detroit.com/,https://www.allsides.com/news-source/fox-2-detroit-media-bias
FOX 23 Maine,News Media,Center,https://fox23maine.com/,https://www.allsides.com/news-source/fox-23-maine-media-bias
FOX 25 KOKH,News Media,Center,https://okcfox.com/,https://www.allsides.com/news-source/fox-25-kokh-media-bias
Fox 28 WTTE,News Media,Center,https://myfox28columbus.com/,https://www.allsides.com/news-source/fox-28-wtte-media-bias
Fox 29 KABB,News Media,Center,https://foxsanantonio.com/,https://www.allsides.com/news-source/fox-29-kabb-media-bias
Fox 29 Philadelphia,News Media,Center,https://www.fox29.com/,https://www.allsides.com/news-source/fox-29-philadelphia-media-bias
Fox 4 Kansas City,News Media,Center,https://fox4kc.com/,https://www.allsides.com/news-source/fox-4-kansas-city-media-bias
Fox 42 KPTM,News Media,Center,https://fox42kptm.com/,https://www.allsides.com/news-source/fox-42-kptm-media-bias
FOX 43 WPMT,News Media,Center,https://www.fox43.com/,https://www.allsides.com/news-source/fox-43-wpmt-media-bias
Fox 5 Atlanta,News Media,Center,https://www.fox5atlanta.com/,https://www.allsides.com/news-source/fox-5-atlanta-media-bias
Fox 5 DC,News Media,Center,https://www.fox5dc.com/,https://www.allsides.com/news-source/fox-5-dc-media-bias
FOX 5 KVVU,News Media,Center,https://www.fox5vegas.com/,https://www.allsides.com/news-source/fox-5-kvvu-media-bias
Fox 56 WDKY,News Media,Center,https://fox56news.com/,https://www.allsides.com/news-source/fox-56-wdky-media-bias
Fox 59,News Media,Center,https://fox59.com/,https://www.allsides.com/news-source/fox-59-media-bias
Fox 6 WBRC,News Media,Center,https://www.wbrc.com/,https://www.allsides.com/news-source/fox-6-wbrc-media-bias
Fox Business,News Media,Lean Right,https://www.foxbusiness.com/,https://www.allsides.com/news-source/fox-business-media-bias
FOX Carolina WHNS,News Media,Center,https://www.foxcarolina.com/,https://www.allsides.com/news-source/fox-carolina-whns-media-bias
Fox Nebraska KFXL,News Media,Center,https://foxnebraska.com/,https://www.allsides.com/news-source/fox-nebraska-kfxl-media-bias
Fox News (Opinion),News Media,Right,http://www.foxnews.com/opinion.html,https://www.allsides.com/news-source/fox-news-editorial-media-bias
Fox News Digital,News Media,Right,http://www.foxnews.com/,https://www.allsides.com/news-source/fox-news-media-bias
Fox News Latino,News Media,Right,http://latino.foxnews.com/index.html,https://www.allsides.com/news-source/fox-news-latino
Fox16,News Media,Center,https://www.fox16.com/,https://www.allsides.com/news-source/fox16-media-bias
Fox21,News Media,Center,https://www.fox21online.com/,https://www.allsides.com/news-source/fox21-media-bias
Fox9,News Media,Center,https://www.fox9.com/,https://www.allsides.com/news-source/fox9-media-bias
Franklin Favorite,News Media,Center,https://www.franklinfavorite.com/,https://www.allsides.com/news-source/franklin-favorite-media-bias
Freakonomics,Think Tank / Policy Group,Center,http://freakonomics.com,https://www.allsides.com/news-source/freakonomics
Frederick News-Post,News Media,Center,https://www.fredericknewspost.com/,https://www.allsides.com/news-source/frederick-news-post-media-bias
Free Beacon Fact Check,Fact Check,Right,https://freebeacon.com/fact-check/,https://www.allsides.com/news-source/free-beacon-fact-check-media-bias
Free Press,Think Tank / Policy Group,Left,https://www.freepress.net/,https://www.allsides.com/news-source/free-press-media-bias
FrontPage Magazine,News Media,Right,http://frontpagemag.com/,https://www.allsides.com/news-source/frontpage-magazine
Gainesville Daily Register,News Media,Center,https://www.gainesvilleregister.com/,https://www.allsides.com/news-source/gainesville-daily-register-media-bias
Gainesville Sun,News Media,Center,https://www.gainesville.com/,https://www.allsides.com/news-source/gainesville-sun-media-bias
Gallatin News,News Media,Center,https://www.gallatinnews.com/,https://www.allsides.com/news-source/gallatin-news-media-bias
Gallup,Reference,Center,https://www.gallup.com/home.aspx,https://www.allsides.com/news-source/gallup
Galveston County The Daily News,News Media,Center,https://www.galvnews.com/,https://www.allsides.com/news-source/galveston-county-daily-news-media-bias
Gay City News,News Media,Lean Left,https://gaycitynews.com/,https://www.allsides.com/news-source/gay-city-news-media-bias
Gay Times,News Media,Lean Left,https://www.gaytimes.co.uk/,https://www.allsides.com/news-source/gay-times-media-bias
GayBuzzer,News Media,Center,https://www.gaybuzzer.com/,https://www.allsides.com/news-source/gaybuzzer-media-bias
GayNewsToday,News Media,Left,https://www.gaynewstoday.com,https://www.allsides.com/news-source/gaynewstoday-media-bias
GayStarNews,News Media,Left,https://www.gaystarnews.com/,https://www.allsides.com/news-source/gaystarnews-media-bias
GB News,News Media,Lean Right,https://www.gbnews.com/,https://www.allsides.com/news-source/gb-news-media-bias
Gell,Think Tank / Policy Group,Mixed,https://www.gell.com,https://www.allsides.com/news-source/gell-media-bias
Georgia Asian Times,News Media,Center,https://gasiantimes.com/,https://www.allsides.com/news-source/georgia-asian-times-media-bias
Georgia Law News,News Media,Center,https://georgialawnews.com/,https://www.allsides.com/news-source/georgia-law-news-media-bias
Georgia Recorder,News Media,Center,https://georgiarecorder.com/,https://www.allsides.com/news-source/georgia-recorder-media-bias
Georgia Voice,News Media,Left,https://thegavoice.com/,https://www.allsides.com/news-source/georgia-voice-media-bias
Gigafact,News Media,Center,https://gigafact.org/,https://www.allsides.com/news-source/gigafact-media-bias
Gillette News Record,News Media,Center,https://www.gillettenewsrecord.com/,https://www.allsides.com/news-source/gillette-news-record-media-bias
Gizmodo,News Media,Lean Left,http://gizmodo.com,https://www.allsides.com/news-source/gizmodo
GLAAD,News Media,Lean Left,https://www.glaad.org/,https://www.allsides.com/news-source/glaad-media-bias
GLAAD,Think Tank / Policy Group,Left,https://www.glaad.org/,https://www.allsides.com/news-source/glaad-media-bias-0
Glenn Greenwald,News Media,Center,https://greenwald.substack.com/,https://www.allsides.com/news-source/glenn-greenwald-media-bias
Global Disinformation Index ,Think Tank / Policy Group,Left,https://disinformationindex.org/,https://www.allsides.com/news-source/global-disinformation-index-media-bias
Global News,News Media,Lean Left,https://globalnews.ca/,https://www.allsides.com/news-source/global-news-media-bias
GoLocal Providence,News Media,Center,https://www.golocalprov.com/,https://www.allsides.com/news-source/golocal-providence-media-bias
Good Faith Media,News Media,Lean Left,https://goodfaithmedia.org/,https://www.allsides.com/news-source/good-faith-media-media-bias
Good News Magazine,News Media,Lean Right,https://goodnewsmag.org/,https://www.allsides.com/news-source/good-news-magazine-media-bias
Google News,News Media,Lean Left,https://news.google.com/,https://www.allsides.com/news-source/google-news-media-bias
Google Search,News Media,Lean Left,https://www.google.com/,https://www.allsides.com/news-source/google-search-media-bias
GOP.gov,Think Tank / Policy Group,Right,https://www.gop.gov/,https://www.allsides.com/news-source/gopgov
Gothamist,News Media,Center,https://gothamist.com/,https://www.allsides.com/news-source/gothamist-media-bias
Govt. Accountability Office,Reference,Center,https://www.gao.gov/,https://www.allsides.com/news-source/government-accountability-office-media-bias
GQ.com,News Media,Lean Left,https://www.gq.com/,https://www.allsides.com/news-source/gqcom-media-bias
Grand Forks Herald,News Media,Center,https://www.grandforksherald.com/,https://www.allsides.com/news-source/grand-forks-herald-media-bias
Green Bay Press-Gazette,News Media,Center,https://www.greenbaypressgazette.com/,https://www.allsides.com/news-source/green-bay-press-gazette-media-bias
Greenfield Daily Reporter,News Media,Center,https://www.greenfieldreporter.com/,https://www.allsides.com/news-source/greenfield-daily-reporter-media-bias
Greenwich Time,News Media,Center,https://www.greenwichtime.com/,https://www.allsides.com/news-source/greenwich-time-media-bias
Grid,News Media,Lean Left,https://www.grid.news/,https://www.allsides.com/news-source/grid-media-bias
Grist,News Media,Lean Left,https://grist.org/,https://www.allsides.com/news-source/grist
Ground News,News Media,Mixed,https://ground.news/,https://www.allsides.com/news-source/ground-news-media-bias
Haaretz,News Media,Lean Left,https://www.haaretz.com/,https://www.allsides.com/news-source/haaretz-media-bias
Hampton Roads Messenger,News Media,Center,http://www.hamptonroadsmessenger.com/,https://www.allsides.com/news-source/hampton-roads-messanger
"Handgun Control, Inc.",,Lean Left,,https://www.allsides.com/news-source/handgun-control-inc
Harlan Enterprise,News Media,Center,https://www.harlanenterprise.net/,https://www.allsides.com/news-source/harlan-enterprise-media-bias
Harrison Daily Times,News Media,Center,https://harrisondaily.com/,https://www.allsides.com/news-source/harrison-daily-times-media-bias
HarrisX,Reference,Center,https://harrisx.com/,https://www.allsides.com/news-source/harrisx-media-bias
Hartford Business Journal,News Media,Lean Left,https://www.hartfordbusiness.com/,https://www.allsides.com/news-source/hartford-business-journal-media-bias
Hartford Courant,News Media,Center,https://www.courant.com/,https://www.allsides.com/news-source/hartford-courant-media-bias
Harvard Business School,News Media,Lean Left,http://hbswk.hbs.edu/,https://www.allsides.com/news-source/harvard-business-school
Harvard CAPS / Harris Poll,Reference,Center,https://harvardharrispoll.com/,https://www.allsides.com/news-source/harvard-caps-harris-poll-media-bias
Hastings Tribune,News Media,Center,https://www.hastingstribune.com/,https://www.allsides.com/news-source/hastings-tribune-media-bias
Hattiesburg American,News Media,Center,https://www.hattiesburgamerican.com/,https://www.allsides.com/news-source/hattiesburg-american-media-bias
Hawaii News Now,News Media,Center,https://www.hawaiinewsnow.com/,https://www.allsides.com/news-source/hawaii-news-now-media-bias
Hawaii News Now,News Media,Center,https://www.hawaiinewsnow.com/,https://www.allsides.com/news-source/hawaii-news-now-media-bias-0
Hawaii News Online,News Media,Center,https://hawaiinews.online/,https://www.allsides.com/news-source/hawaii-news-online-media-bias
Hawaii Public Radio,News Media,Center,https://www.hawaiipublicradio.org/,https://www.allsides.com/news-source/hawaii-public-radio-media-bias
Hawaii Tribune-Herald,News Media,Center,https://www.hawaiitribune-herald.com/,https://www.allsides.com/news-source/hawaii-tribune-herald-media-bias
Hays Free Press,News Media,Center,https://www.haysfreepress.com/,https://www.allsides.com/news-source/hays-free-press-media-bias
Healthcare.gov,Think Tank / Policy Group,Lean Left,http://www.healthcare.gov/,https://www.allsides.com/news-source/healthcaregov
Heart of the Rockies Radio,News Media,Center,https://heartoftherockiesradio.com/,https://www.allsides.com/news-source/heart-rockies-radio-media-bias
Heavy.com,News Media,Center,https://heavy.com/,https://www.allsides.com/news-source/heavycom-media-bias
Hendricks County Business Leader,News Media,Center,https://myhcicon.com/,https://www.allsides.com/news-source/hendricks-county-business-leader-media-bias
Herald & Review,News Media,Center,https://herald-review.com/,https://www.allsides.com/news-source/herald-review-media-bias
Herald Democrat,News Media,Left,http://heralddemocrat.com/,https://www.allsides.com/news-source/herald-democrat-0
Herald-Dispatch,News Media,Lean Left,http://www.herald-dispatch.com/,https://www.allsides.com/news-source/herald-dispatch
Herald-Tribune,News Media,Lean Left,https://www.heraldtribune.com/,https://www.allsides.com/news-source/herald-tribune-media-bias
Heterodox Academy,Think Tank / Policy Group,Center,https://heterodoxacademy.org/,https://www.allsides.com/news-source/heterodox-academy-media-bias
High Point Enterprise,News Media,Center,https://www.hpenews.com/,https://www.allsides.com/news-source/high-point-enterprise
High Times,News Media,Lean Left,https://hightimes.com/,https://www.allsides.com/news-source/high-times-media-bias
Hill Country Community Journal,News Media,Center,https://www.hccommunityjournal.com/,https://www.allsides.com/news-source/hill-country-community-journal-media-bias
Hindustan Times,News Media,Center,https://www.hindustantimes.com/,https://www.allsides.com/news-source/hindustan-times-media-bias
Hingham Anchor,News Media,Center,https://www.hinghamanchor.com/,https://www.allsides.com/news-source/hingham-anchor-media-bias
Hip Latina,News Media,Left,https://hiplatina.com/,https://www.allsides.com/news-source/hip-latina-media-bias
HNG News,News Media,Center,https://www.hngnews.com/,https://www.allsides.com/news-source/hng-news-media-bias
Hobbs News-Sun,News Media,Center,https://hobbsnews.com,https://www.allsides.com/news-source/hobbs-news-sun-media-bias
Home News Here,News Media,Center,http://homenewshere.com/,https://www.allsides.com/news-source/home-news-here-media-bias
Homeland Security Today,News Media,Lean Left,https://www.hstoday.us/,https://www.allsides.com/news-source/homeland-security-today-media-bias
Homer News,News Media,Center,https://www.homernews.com/,https://www.allsides.com/news-source/homer-news-media-bias
Honolulu Civil Beat,News Media,Center,https://www.civilbeat.org/,https://www.allsides.com/news-source/honolulu-civil-beat
Honolulu Star-Advertiser,News Media,Center,https://www.staradvertiser.com/,https://www.allsides.com/news-source/honolulu-star-advertiser-media-bias
Hoover Institution,,Lean Right,,https://www.allsides.com/news-source/hoover-institution
Hot Springs Sentinel-Record,News Media,Center,https://www.hotsr.com/,https://www.allsides.com/news-source/hot-springs-sentinel-record-media-bias
HotAir,News Media,Lean Right,http://hotair.com/,https://www.allsides.com/news-source/hotair
Houston Chronicle,News Media,Center,https://www.houstonchronicle.com/,https://www.allsides.com/news-source/houston-chronicle-media-bias
Houston Public Media,News Media,Center,https://www.houstonpublicmedia.org/,https://www.allsides.com/news-source/houston-public-media-media-bias
How Do We Fix It?,Podcast,Center,https://www.howdowefixit.me/,https://www.allsides.com/news-source/how-do-we-fix-it
Hudson Institute,,Lean Right,,https://www.allsides.com/news-source/hudson-institute
HuffPost,News Media,Left,https://www.huffpost.com/,https://www.allsides.com/news-source/huffpost-media-bias
Human Events,News Media,Lean Right,https://humanevents.com/,https://www.allsides.com/news-source/human-events-media-bias
Human Rights Campaign,Think Tank / Policy Group,Left,https://www.hrc.org/,https://www.allsides.com/news-source/human-rights-campaign-media-bias
Human Rights Watch,Reference,Center,,https://www.allsides.com/news-source/human-rights-watch-media-bias
Hungarian Conservative,News Media,Lean Right,https://www.hungarianconservative.com/,https://www.allsides.com/news-source/hungarian-conservative-media-bias
i,News Media,Center,https://inews.co.uk/,https://www.allsides.com/news-source/i-media-bias
Idaho Press,News Media,Center,https://www.idahopress.com/,https://www.allsides.com/news-source/idaho-press-media-bias
Idaho State Journal,News Media,Center,https://www.idahostatejournal.com/,https://www.allsides.com/news-source/idaho-state-journal-media-bias
Idaho Statesman,News Media,Center,http://www.idahostatesman.com/,https://www.allsides.com/news-source/idaho-statesman-media-bias
Ideastream Public Media,News Media,Lean Left,https://www.ideastream.org//,https://www.allsides.com/news-source/ideastream-public-media-media-bias
Illinois Newsroom,News Media,Lean Left,https://illinoisnewsroom.org/,https://www.allsides.com/news-source/illinois-newsroom-media-bias
In Depth NH,News Media,Center,https://indepthnh.org/,https://www.allsides.com/news-source/depth-nh-media-bias
In the Grey,Video,Left,https://youtube.com/c/GodisGrey,https://www.allsides.com/news-source/grey-media-bias
In This Together,Think Tank / Policy Group,Center,https://inthistogetheramerica.org/,https://www.allsides.com/news-source/together-media-bias
Inacow,News Media,Right,http://www.inacow.com/,https://www.allsides.com/news-source/inacow
IncentFit,News Media,Center,https://incentfit.com/,https://www.allsides.com/news-source/incentfit-media-bias
Independent Institute,Think Tank / Policy Group,Lean Right,http://www.independent.org,https://www.allsides.com/news-source/independent-institute
Independent Journal Review,News Media,Right,https://ijr.com/,https://www.allsides.com/news-source/independent-journal-review
Independent Record,News Media,Center,https://helenair.com/,https://www.allsides.com/news-source/independent-record-media-bias
Indiana 105,News Media,Center,https://indiana105.com/,https://www.allsides.com/news-source/indiana-105-media-bias
Indiana Daily Student,News Media,Center,http://www.idsnews.com/,https://www.allsides.com/news-source/indiana-daily-student
Indiana Public Media,News Media,Center,https://indianapublicmedia.org/,https://www.allsides.com/news-source/indiana-public-media-media-bias
Indianapolis Business Journal,News Media,Center,https://www.ibj.com/,https://www.allsides.com/news-source/indianapolis-business-journal-media-bias
Indianapolis News Source,News Media,Center,https://indynewssource.com/,https://www.allsides.com/news-source/indianapolis-news-source-media-bias
Indianapolis Recorder,News Media,Center,https://indianapolisrecorder.com/,https://www.allsides.com/news-source/indianapolis-recorder-media-bias
Indy Online,News Media,Center,https://www.theindyonline.com/,https://www.allsides.com/news-source/indy-online
Indy Week,News Media,Lean Left,http://www.indyweek.com/,https://www.allsides.com/news-source/indy-week
IndyStar,News Media,Center,http://indystar.com,https://www.allsides.com/news-source/indystar-media-bias
Inforum,News Media,Center,https://inforum.com/,https://www.allsides.com/news-source/inforum-media-bias
Infowars,News Media,Right,http://www.infowars.com/,https://www.allsides.com/news-source/infowars
Inland Valley Daily Bulletin,News Media,Center,https://www.dailybulletin.com/,https://www.allsides.com/news-source/inland-valley-daily-bulletin-media-bias
InMenlo,News Media,Center,https://inmenlo.com/,https://www.allsides.com/news-source/inmenlo-media-bias
Inside Higher Ed,News Media,Lean Left,https://www.insidehighered.com/,https://www.allsides.com/news-source/inside-higher-ed-media-bias
Inside Philanthropy,News Media,Center,https://www.insidephilanthropy.com/,https://www.allsides.com/news-source/inside-philanthropy
InsiderNJ,News Media,Lean Left,https://www.insidernj.com/,https://www.allsides.com/news-source/insidernj-media-bias
Institute for Cultural Evolution,Think Tank / Policy Group,Center,https://www.culturalevolution.org/,https://www.allsides.com/news-source/institute-cultural-evolution-media-bias
Institute for International Economics,,Center,,https://www.allsides.com/news-source/institute-international-economics
Intellectual Conservative,News Media,Lean Right,http://intellectualconservative.com,https://www.allsides.com/news-source/intellectual-conservative
International Business Times,News Media,Center,http://www.ibtimes.com/,https://www.allsides.com/news-source/international-business-times
International Institute for Strategic Studies,,Center,,https://www.allsides.com/news-source/international-institute-strategic-studies
Investopedia,News Media,Center,https://www.investopedia.com/,https://www.allsides.com/news-source/investopedia-media-bias
Investor's Business Daily,News Media,Lean Right,http://www.investors.com,https://www.allsides.com/news-source/investors-business-daily
Iowa Capital Dispatch,News Media,Center,https://iowacapitaldispatch.com/,https://www.allsides.com/news-source/iowa-capital-dispatch-media-bias
Iowa Public Radio,News Media,Center,https://www.iowapublicradio.org/,https://www.allsides.com/news-source/iowa-public-radio-media-bias
Iowa State Daily,News Media,Center,https://iowastatedaily.com/,https://www.allsides.com/news-source/iowa-state-daily-media-bias
Ipsos,Reference,Center,https://www.ipsos.com/en-us,https://www.allsides.com/news-source/ipsos-media-bias
Iredell Free News,News Media,Center,https://www.iredellfreenews.com/,https://www.allsides.com/news-source/iredell-free-news-media-bias
Irving Weekly,News Media,Center,https://www.irvingweekly.com/,https://www.allsides.com/news-source/irving-weekly-media-bias
Issue One,Think Tank / Policy Group,Center,https://issueone.org/,https://www.allsides.com/news-source/issue-one-media-bias
ITV,News Media,Center,https://www.itv.com/news,https://www.allsides.com/news-source/itv-media-bias
IVN,News Media,Center,http://www.ivn.us,https://www.allsides.com/news-source/ivn
Jackson Hole News&Guide,News Media,Center,https://www.jhnewsandguide.com/,https://www.allsides.com/news-source/jackson-hole-newsguide-media-bias
Jacobin,News Media,Left,https://jacobinmag.com/,https://www.allsides.com/news-source/jacobin-media-bias
Jamestown Press,News Media,Center,https://www.jamestownpress.com/,https://www.allsides.com/news-source/jamestown-press-media-bias
Jefferson City News Tribune,News Media,Center,https://www.newstribune.com/,https://www.allsides.com/news-source/jefferson-city-news-tribune-media-bias
Jefferson Public Radio,News Media,Center,https://www.ijpr.org/,https://www.allsides.com/news-source/jefferson-public-radio-media-bias
Jersey Shore Online,News Media,Center,https://www.jerseyshoreonline.com/,https://www.allsides.com/news-source/jersey-shore-online-media-bias
Jewish Insider,News Media,Center,https://jewishinsider.com/,https://www.allsides.com/news-source/jewish-insider-media-bias
Jezebel,News Media,Left,https://jezebel.com/,https://www.allsides.com/news-source/jezebel-media-bias
JoeMyGod,News Media,Left,https://www.joemygod.com/,https://www.allsides.com/news-source/joemygod-media-bias
Journal News,News Media,Center,https://www.journal-news.com/,https://www.allsides.com/news-source/journal-news-media-bias
Journalist's Resource,News Media,Center,http://journalistsresource.org/,https://www.allsides.com/news-source/journalists-resource
JRL Charts,News Media,Left,https://www.jrlcharts.com,https://www.allsides.com/news-source/jrl-charts-media-bias
JSTOR Daily,News Media,Center,https://daily.jstor.org/,https://www.allsides.com/news-source/jstor-daily-media-bias
Jubilee Media,News Media,Lean Left,https://www.jubileemedia.com/,https://www.allsides.com/news-source/jubilee-media-bias
Judicial Watch,News Media,Lean Right,http://www.judicialwatch.org,https://www.allsides.com/news-source/judicial-watch
Just Facts,Reference,Center,https://www.justfacts.com/,https://www.allsides.com/news-source/just-facts-media-bias
Just Security,News Media,Center,https://www.justsecurity.org/,https://www.allsides.com/news-source/just-security-media-bias
Just The News,News Media,Lean Right,https://justthenews.com/,https://www.allsides.com/news-source/just-news-media-bias
K2 Radio,News Media,Center,https://k2radio.com/category/wyoming-news/,https://www.allsides.com/news-source/k2-radio-media-bias
Kaiser Family Foundation,Reference,Center,https://www.kff.org/,https://www.allsides.com/news-source/kaiser-family-foundation-media-bias
KAKE,News Media,Center,https://www.kake.com/,https://www.allsides.com/news-source/kake-media-bias
KALW.org,News Media,Center,https://www.kalw.org/,https://www.allsides.com/news-source/kalworg-media-bias
Kane County Chronicle,News Media,Center,https://www.shawlocal.com/kane-county-chronicle/,https://www.allsides.com/news-source/kane-county-chronicle-media-bias
Kansas Public Radio,News Media,Center,https://kansaspublicradio.org/,https://www.allsides.com/news-source/kansas-public-radio-media-bias
Kansas Reflector,News Media,Lean Left,https://kansasreflector.com/,https://www.allsides.com/news-source/kansas-reflector-media-bias-0
Kansas Reflector,News Media,Lean Left,https://kansasreflector.com/,https://www.allsides.com/news-source/kansas-reflector-media-bias
KARE11,News Media,Center,https://www.kare11.com/,https://www.allsides.com/news-source/kare11-media-bias
KARK,News Media,Center,https://www.kark.com/,https://www.allsides.com/news-source/kark-media-bias
KARK 4 News,News Media,Lean Left,https://www.kark.com/,https://www.allsides.com/news-source/kark-4-news-media-bias
KATU,News Media,Center,https://katu.com/,https://www.allsides.com/news-source/katu-media-bias
KBND,News Media,Center,https://kbnd.com/,https://www.allsides.com/news-source/kbnd-media-bias
KBOI 2,News Media,Center,https://idahonews.com/,https://www.allsides.com/news-source/kboi-2-media-bias
KBZK 7,News Media,Center,https://www.kbzk.com/,https://www.allsides.com/news-source/kbzk-7-media-bias
KCST,News Media,Center,https://kcfmradio.com/,https://www.allsides.com/news-source/kcst-media-bias
KDKA,News Media,Center,https://www.cbsnews.com/pittsburgh/local-news/,https://www.allsides.com/news-source/kdka-media-bias
Kearney Hub,News Media,Center,https://kearneyhub.com/,https://www.allsides.com/news-source/kearney-hub-media-bias
Keeping it Right,News Media,Right,http://keepingitright.blogspot.com/,https://www.allsides.com/news-source/keeping-it-right-media-bias
Keloland,News Media,Center,https://www.keloland.com/,https://www.allsides.com/news-source/keloland-media-bias
Kennebec Journal,News Media,Center,https://www.centralmaine.com/,https://www.allsides.com/news-source/kennebec-journal-media-bias
Kenosha News,News Media,Center,https://www.kenoshanews.com/,https://www.allsides.com/news-source/kenosha-news-media-bias
KENS 5,News Media,Center,https://www.kens5.com/,https://www.allsides.com/news-source/kens-5-media-bias
Kent County Daily Times,News Media,Center,https://www.ricentral.com/kent_county_daily_times/,https://www.allsides.com/news-source/kent-county-daily-times-media-bias
Kent Island Bay Times,News Media,Center,https://www.myeasternshoremd.com/qa/bay_times/,https://www.allsides.com/news-source/kent-island-bay-times-media-bias
Kent Reporter,News Media,Center,https://www.kentreporter.com/,https://www.allsides.com/news-source/kent-reporter-media-bias
Kent Wired,News Media,Lean Left,https://kentwired.com/,https://www.allsides.com/news-source/kent-wired-media-bias
Kentucky Gazette,News Media,Center,https://kentuckygazette.com/,https://www.allsides.com/news-source/kentucky-gazette-media-bias
Kentucky New Era,News Media,Center,https://www.kentuckynewera.com/,https://www.allsides.com/news-source/kentucky-new-era
Kentucky Today,News Media,Center,https://www.kentuckytoday.com/,https://www.allsides.com/news-source/kentucky-today-media-bias
KESQ 3,News Media,Center,https://kesq.com/,https://www.allsides.com/news-source/kesq-3-media-bias
KETR,News Media,Center,https://www.ketr.org/,https://www.allsides.com/news-source/ketr-media-bias
KEYC,News Media,Center,https://www.keyc.com/,https://www.allsides.com/news-source/keyc-media-bias
KEYT,News Media,Center,https://keyt.com/,https://www.allsides.com/news-source/keyt-media-bias
KFDA 10,News Media,Center,https://www.newschannel10.com/,https://www.allsides.com/news-source/kfda-10-media-bias
KFGO,News Media,Lean Left,https://kfgo.com/,https://www.allsides.com/news-source/kfgo-media-bias
KFOR 4,News Media,Center,https://kfor.com/,https://www.allsides.com/news-source/kfor-4-media-bias
KFOX 14,News Media,Center,https://kfoxtv.com/,https://www.allsides.com/news-source/kfox-14-media-bias
KFYR,News Media,Center,https://www.kfyrtv.com/,https://www.allsides.com/news-source/kfyr-media-bias
KGAB AM 650,News Media,Center,https://kgab.com/category/local-news/,https://www.allsides.com/news-source/kgab-am-650-media-bias
KGAN CBS 2,News Media,Center,https://cbs2iowa.com/,https://www.allsides.com/news-source/kgan-cbs-2-media-bias
KGNS,News Media,Center,https://www.kgns.tv/,https://www.allsides.com/news-source/kgns-media-bias
KGUN,News Media,Center,https://www.kgun9.com/,https://www.allsides.com/news-source/kgun-media-bias
KGW 8,News Media,Center,https://www.kgw.com/,https://www.allsides.com/news-source/kgw-8-media-bias
KHON 2,News Media,Center,https://www.khon2.com/,https://www.allsides.com/news-source/khon-2-media-bias
Kialo,Dialogue & Debate,Mixed,https://www.kialo.com/,https://www.allsides.com/news-source/kialo-media-bias
KICD,News Media,Center,https://kicdam.com/,https://www.allsides.com/news-source/kicd-media-bias
KIFI News 8,News Media,Center,https://localnews8.com/,https://www.allsides.com/news-source/kifi-news-8-media-bias
Kilgore News Herald,News Media,Center,https://www.kilgorenewsherald.com/,https://www.allsides.com/news-source/kilgore-news-herald-media-bias
KING 5 News,News Media,Center,https://www.king5.com/,https://www.allsides.com/news-source/king-5-news-media-bias
Kingsport Times-News,News Media,Center,https://www.timesnews.net/,https://www.allsides.com/news-source/kingsport-times-news-media-bias
KIRO 7,News Media,Center,https://www.kiro7.com/,https://www.allsides.com/news-source/kiro-7-media-bias
KITV 4,News Media,Center,https://www.kitv.com/,https://www.allsides.com/news-source/kitv-4-media-bias
KIVI 6,News Media,Center,https://www.kivitv.com/,https://www.allsides.com/news-source/kivi-6-media-bias
KJZZ Fronteras,News Media,Center,https://fronterasdesk.org/,https://www.allsides.com/news-source/kjzz-fronteras-media-bias
KLAS 8,News Media,Center,https://www.8newsnow.com/,https://www.allsides.com/news-source/klas-8-media-bias
KLIN,News Media,Center,https://klin.com/#/questions,https://www.allsides.com/news-source/klin-media-bias
KMA Land,News Media,Center,https://www.kmaland.com/,https://www.allsides.com/news-source/kma-land-media-bias
